State/UT,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
jammu and kashmir,kupwara,158438.0,92052.0,13150.0,77476.0,23226.0,11496.0,1114.0,16304.0
jammu and kashmir,badgam,160649.0,74380.0,6265.0,133820.0,27190.0,9190.0,706.0,24579.0
jammu and kashmir,kargil,40370.0,29591.0,1412.0,39078.0,7774.0,5348.0,93.0,7579.0
jammu and kashmir,punch,132139.0,78622.0,3171.0,18103.0,15269.0,4168.0,122.0,11497.0
jammu and kashmir,rajouri,196070.0,103721.0,5293.0,19999.0,17508.0,3256.0,297.0,14969.0
jammu and kashmir,kathua,181374.0,66564.0,6348.0,25755.0,33473.0,9037.0,1037.0,22460.0
jammu and kashmir,baramula,210543.0,97060.0,11158.0,156433.0,48932.0,16636.0,2446.0,45262.0
jammu and kashmir,bandipore,80521.0,43239.0,5958.0,56445.0,17555.0,5442.0,754.0,16554.0
jammu and kashmir,srinagar,4518.0,1734.0,284.0,4007.0,257721.0,59791.0,5669.0,252824.0
jammu and kashmir,ganderbal,63788.0,30235.0,6059.0,44332.0,13558.0,2982.0,610.0,12378.0
jammu and kashmir,pulwama,147520.0,63433.0,6785.0,92495.0,21703.0,9202.0,651.0,19771.0
jammu and kashmir,shupiyan,75616.0,25104.0,4461.0,44613.0,5272.0,1813.0,173.0,4997.0
jammu and kashmir,anantnag,207067.0,89660.0,10560.0,105190.0,70666.0,20139.0,2190.0,53352.0
jammu and kashmir,kulgam,95952.0,47016.0,4509.0,40011.0,25178.0,10574.0,1057.0,14729.0
jammu and kashmir,doda,122267.0,73360.0,1956.0,29344.0,11350.0,2689.0,329.0,10600.0
jammu and kashmir,ramban,84281.0,43404.0,1769.0,15002.0,5341.0,1030.0,128.0,4417.0
jammu and kashmir,kishtwar,72378.0,37636.0,2460.0,14475.0,5993.0,809.0,41.0,5597.0
jammu and kashmir,udhampur,148664.0,66452.0,2973.0,11001.0,34696.0,5898.0,624.0,26056.0
jammu and kashmir,reasi,95572.0,52469.0,1433.0,8601.0,12261.0,4843.0,134.0,9661.0
jammu and kashmir,jammu,254566.0,97753.0,12473.0,62623.0,248043.0,56057.0,8433.0,210588.0
jammu and kashmir,samba,94247.0,28745.0,3110.0,24504.0,19989.0,3558.0,219.0,14132.0
himachal pradesh,chamba,186395.0,70830.0,4287.0,90960.0,13836.0,2573.0,96.0,12037.0
himachal pradesh,kangra,588321.0,148845.0,8236.0,378878.0,39007.0,7411.0,624.0,32102.0
himachal pradesh,lahul and spiti,17434.0,5875.0,139.0,13615.0,,,,
himachal pradesh,kullu,167995.0,46198.0,2015.0,91053.0,20709.0,3189.0,269.0,18762.0
himachal pradesh,mandi,431129.0,120716.0,6898.0,353525.0,31696.0,5483.0,221.0,29160.0
himachal pradesh,hamirpur,196116.0,42361.0,1961.0,174739.0,15232.0,2619.0,91.0,14059.0
himachal pradesh,una,185091.0,46828.0,2591.0,108833.0,20126.0,4910.0,966.0,15013.0
himachal pradesh,bilaspur,152458.0,41011.0,1981.0,104891.0,11987.0,2025.0,95.0,11207.0
himachal pradesh,solan,192787.0,47232.0,3662.0,133023.0,51509.0,9632.0,721.0,46255.0
himachal pradesh,sirmaur,171102.0,52870.0,4790.0,97357.0,21054.0,4147.0,210.0,20232.0
himachal pradesh,shimla,279269.0,68141.0,6423.0,167002.0,95896.0,17357.0,1246.0,86977.0
himachal pradesh,kinnaur,44514.0,13042.0,445.0,30803.0,,,,
punjab,gurdaspur,420860.0,207904.0,37877.0,210850.0,185488.0,76235.0,9645.0,158777.0
punjab,kapurthala,165433.0,68489.0,10091.0,128045.0,95770.0,30646.0,3926.0,90119.0
punjab,jalandhar,330339.0,154268.0,20481.0,251057.0,377791.0,143938.0,18133.0,361923.0
punjab,hoshiarpur,422673.0,173295.0,27473.0,240923.0,128592.0,44107.0,6301.0,114318.0
punjab,shahid bhagat singh nagar,183168.0,73450.0,9891.0,122356.0,48383.0,17417.0,3144.0,41173.0
punjab,fatehgarh sahib,117559.0,45965.0,7523.0,96986.0,57337.0,20239.0,2580.0,53839.0
punjab,ludhiana,395032.0,178159.0,28047.0,345653.0,641789.0,262491.0,31447.0,621893.0
punjab,moga,214295.0,96861.0,15857.0,183007.0,74144.0,25802.0,4967.0,70214.0
punjab,firozpur,348522.0,177397.0,37640.0,232115.0,153868.0,63239.0,10924.0,139558.0
punjab,muktsar,149507.0,78939.0,15997.0,108093.0,74650.0,30083.0,6793.0,67035.0
punjab,faridkot,99946.0,48973.0,7695.0,80056.0,58917.0,23802.0,4772.0,54674.0
punjab,bathinda,218159.0,111479.0,16143.0,183908.0,137563.0,44570.0,7428.0,128071.0
punjab,mansa,145603.0,67705.0,10483.0,91584.0,50786.0,17318.0,2996.0,43168.0
punjab,patiala,299279.0,143653.0,21248.0,231342.0,218090.0,70224.0,9159.0,211329.0
punjab,amritsar,275477.0,152063.0,21487.0,167490.0,385476.0,163827.0,20815.0,360034.0
punjab,tarn taran,222717.0,124053.0,18040.0,144320.0,44457.0,19383.0,3156.0,38988.0
punjab,rupnagar,148162.0,52745.0,8889.0,84304.0,60537.0,16708.0,3026.0,55512.0
punjab,sahibzada ajit singh nagar,117293.0,50670.0,8562.0,71196.0,174042.0,41247.0,6613.0,160814.0
punjab,sangrur,292156.0,133515.0,17821.0,229634.0,156788.0,53935.0,7369.0,144244.0
punjab,barnala,102577.0,50980.0,6667.0,82266.0,54222.0,22231.0,3199.0,48908.0
chandigarh,chandigarh,8911.0,4179.0,249.0,7841.0,289456.0,76995.0,10130.0,253563.0
uttarakhand,uttarkashi,112148.0,30279.0,3364.0,44298.0,9061.0,1440.0,72.0,8290.0
uttarakhand,chamoli,163434.0,42983.0,4085.0,76813.0,22906.0,2657.0,206.0,20042.0
uttarakhand,rudraprayag,112705.0,22315.0,2141.0,57479.0,4454.0,432.0,13.0,4079.0
uttarakhand,tehri garhwal,227059.0,62668.0,6357.0,113756.0,27177.0,2880.0,190.0,26062.0
uttarakhand,dehradun,228245.0,60941.0,8901.0,170270.0,269393.0,54956.0,6465.0,256462.0
uttarakhand,garhwal,279682.0,70200.0,5034.0,135086.0,36780.0,5296.0,404.0,34830.0
uttarakhand,pithoragarh,183687.0,46656.0,4224.0,88169.0,26256.0,2599.0,131.0,25337.0
uttarakhand,bageshwar,96031.0,24103.0,2784.0,51376.0,3880.0,353.0,34.0,3492.0
uttarakhand,almora,260056.0,62673.0,4420.0,134188.0,21082.0,3056.0,274.0,19374.0
uttarakhand,champawat,85202.0,34336.0,5112.0,34421.0,12839.0,3607.0,757.0,10258.0
uttarakhand,nainital,193086.0,61208.0,9847.0,134001.0,105577.0,20904.0,3167.0,100086.0
uttarakhand,udham singh nagar,269406.0,123657.0,18050.0,153292.0,145253.0,52872.0,5810.0,133632.0
uttarakhand,hardwar,301828.0,145782.0,15996.0,151517.0,186183.0,47104.0,4096.0,172405.0
haryana,panchkula,70895.0,24955.0,3473.0,31193.0,93656.0,21259.0,4401.0,82042.0
haryana,ambala,175365.0,77511.0,7540.0,89611.0,139891.0,39729.0,4616.0,124922.0
haryana,yamunanagar,214464.0,101012.0,13725.0,98653.0,143259.0,48564.0,5730.0,131655.0
haryana,kurukshetra,203553.0,93634.0,8752.0,140655.0,88268.0,26127.0,3089.0,81559.0
haryana,kaithal,231091.0,112079.0,11092.0,133339.0,75696.0,27931.0,3103.0,62600.0
haryana,karnal,292682.0,139023.0,14341.0,200779.0,135920.0,39824.0,3533.0,124502.0
haryana,panipat,173502.0,82586.0,7287.0,115725.0,153804.0,59983.0,4460.0,145959.0
haryana,sonipat,283858.0,142496.0,13341.0,159528.0,133576.0,47553.0,4541.0,123157.0
haryana,jind,278335.0,142229.0,13916.0,142785.0,89665.0,30396.0,2510.0,78546.0
haryana,fatehabad,203020.0,94201.0,11572.0,148001.0,55360.0,18711.0,2712.0,50322.0
haryana,sirsa,245476.0,102363.0,14483.0,214791.0,93316.0,30794.0,3825.0,89490.0
haryana,hisar,302013.0,140436.0,16610.0,188758.0,154113.0,49624.0,5085.0,137931.0
haryana,bhiwani,357047.0,163884.0,18923.0,175667.0,99235.0,41281.0,4366.0,86135.0
haryana,rohtak,175203.0,86375.0,8234.0,102318.0,131739.0,43869.0,3556.0,121331.0
haryana,jhajjar,211816.0,95529.0,10378.0,123912.0,78328.0,32036.0,3524.0,71826.0
haryana,mahendragarh,223726.0,94188.0,6935.0,87253.0,44216.0,16448.0,1238.0,34134.0
haryana,rewari,199449.0,83170.0,6581.0,99325.0,69305.0,21484.0,1663.0,60849.0
haryana,gurgaon,141703.0,55689.0,4534.0,92957.0,381988.0,104664.0,14897.0,350282.0
haryana,mewat,187398.0,109440.0,16865.0,33356.0,36237.0,14929.0,1739.0,22648.0
haryana,faridabad,87700.0,37886.0,3771.0,51392.0,382981.0,149745.0,9191.0,341619.0
